STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,DPNP,DPNT,TPCP,MMXT,MMNT,MNTM
COOP:041907,COLEMAN FISHERIES CA US,128,40.4,-122.1433,201501,-9999,-9999,0.20,-9999,-9999,-9999
COOP:041907,COLEMAN FISHERIES CA US,128,40.4,-122.1433,201502,-9999,-9999,4.01,-9999,-9999,-9999
COOP:041907,COLEMAN FISHERIES CA US,128,40.4,-122.1433,201503,-9999,-9999,1.90,-9999,-9999,-9999
COOP:041907,COLEMAN FISHERIES CA US,128,40.4,-122.1433,201504,-9999,-9999,0.97,-9999,-9999,-9999
COOP:041907,COLEMAN FISHERIES CA US,128,40.4,-122.1433,201505,-9999,-9999,0.61,-9999,-9999,-9999
COOP:041907,COLEMAN FISHERIES CA US,128,40.4,-122.1433,201506,-9999,-9999,0.62,-9999,-9999,-9999
COOP:041907,COLEMAN FISHERIES CA US,128,40.4,-122.1433,201507,-9999,-9999,0.01,-9999,-9999,-9999
COOP:041907,COLEMAN FISHERIES CA US,128,40.4,-122.1433,201508,-9999,-9999,0.00,-9999,-9999,-9999
COOP:041907,COLEMAN FISHERIES CA US,128,40.4,-122.1433,201509,-9999,-9999,0.68,-9999,-9999,-9999
COOP:041907,COLEMAN FISHERIES CA US,128,40.4,-122.1433,201510,-9999,-9999,1.28,-9999,-9999,-9999
COOP:041907,COLEMAN FISHERIES CA US,128,40.4,-122.1433,201511,-9999,-9999,3.30,-9999,-9999,-9999
COOP:040383,AUBURN CA US,393.8,38.9072,-121.0838,201501,-6.36,4.7,0.00,61.0,40.8,50.9
COOP:040383,AUBURN CA US,393.8,38.9072,-121.0838,201502,-3.02,5.8,3.26,66.1,44.2,55.2
COOP:040383,AUBURN CA US,393.8,38.9072,-121.0838,201503,-5.56,6.5,0.25,70.8,47.5,59.1
COOP:040383,AUBURN CA US,393.8,38.9072,-121.0838,201504,-1.42,1.5,1.45,70.8,45.3,58.1
COOP:049073,TURLOCK NUMBER 2 CA US,35.1,37.5005,-120.855,201501,-2.41,0.7,0.06,55.4,39.7,47.5
COOP:049073,TURLOCK NUMBER 2 CA US,35.1,37.5005,-120.855,201502,-0.16,3.2,2.13,65.1,45.3,55.2
COOP:049073,TURLOCK NUMBER 2 CA US,35.1,37.5005,-120.855,201503,-1.75,5.5,0.18,74.3,49.6,62.0
COOP:049073,TURLOCK NUMBER 2 CA US,35.1,37.5005,-120.855,201504,-0.17,1.0,0.70,74.2,49.7,61.9
COOP:049073,TURLOCK NUMBER 2 CA US,35.1,37.5005,-120.855,201505,-0.28,-3.1,0.24,77.3,52.4,64.9
COOP:049073,TURLOCK NUMBER 2 CA US,35.1,37.5005,-120.855,201506,-0.06,3.2,0.00,91.4,62.9,77.1
COOP:049073,TURLOCK NUMBER 2 CA US,35.1,37.5005,-120.855,201507,0.00,-0.6,0.00,91.3,64.4,77.8
COOP:049073,TURLOCK NUMBER 2 CA US,35.1,37.5005,-120.855,201508,-0.01,-0.1,0.00,91.1,62.8,77.0
COOP:049073,TURLOCK NUMBER 2 CA US,35.1,37.5005,-120.855,201509,-0.24,1.1,0.01,87.7,61.2,74.4
COOP:049073,TURLOCK NUMBER 2 CA US,35.1,37.5005,-120.855,201510,-0.33,4.1,0.35,80.5,57.6,69.1
