STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,DPNP,DPNT,TPCP,MMXT,MMNT,MNTM
COOP:045032,LODI CA US,12.2,38.10611,-121.28778,200801,2.18,0.6,5.74,55.7,37.6,46.7
COOP:045032,LODI CA US,12.2,38.10611,-121.28778,200802,-2.11,-0.9,1.18,61.8,38.6,50.2
COOP:045032,LODI CA US,12.2,38.10611,-121.28778,200803,-2.86,1.1,0.13,69.2,42.3,55.8
COOP:045032,LODI CA US,12.2,38.10611,-121.28778,200804,-1.11,-0.2,0.05,75.3,43.3,59.3
COOP:045032,LODI CA US,12.2,38.10611,-121.28778,200805,-0.59,2.0,0.02,82.7,51.6,67.2
COOP:045032,LODI CA US,12.2,38.10611,-121.28778,200806,-0.13,2.9,0.00,89.8,57.1,73.5
COOP:045032,LODI CA US,12.2,38.10611,-121.28778,200807,-9999,1.8,0.00,92.3,58.9,75.6
COOP:045032,LODI CA US,12.2,38.10611,-121.28778,200808,-0.08,3.0,0.00,93.8,58.1,76.0
COOP:045032,LODI CA US,12.2,38.10611,-121.28778,200809,-0.34,2.3,0.00,90.1,55.0,72.6
COOP:045032,LODI CA US,12.2,38.10611,-121.28778,200810,-0.41,1.5,0.64,79.9,49.4,64.7
COOP:045032,LODI CA US,12.2,38.10611,-121.28778,200811,-1.51,4.4,0.84,67.9,45.7,56.8
COOP:045032,LODI CA US,12.2,38.10611,-121.28778,200812,-0.93,-0.8,1.67,52.8,36.6,44.7
COOP:045032,LODI CA US,12.2,38.10611,-121.28778,200901,-1.82,1.6,1.74,58.3,37.1,47.7
COOP:045032,LODI CA US,12.2,38.10611,-121.28778,200902,0.55,0.3,3.84,61.1,41.6,51.4
COOP:045032,LODI CA US,12.2,38.10611,-121.28778,200903,-9999,0.5,1.60,69.1,41.2,55.2
COOP:045032,LODI CA US,12.2,38.10611,-121.28778,200904,-0.46,0.7,0.70,75.4,45.0,60.2
COOP:045032,LODI CA US,12.2,38.10611,-121.28778,200905,0.48,3.4,1.09,85.1,52.1,68.6
COOP:045032,LODI CA US,12.2,38.10611,-121.28778,200906,0.00,0.2,0.13,86.3,55.3,70.8
COOP:045032,LODI CA US,12.2,38.10611,-121.28778,200907,-0.06,0.8,0.00,92.7,56.4,74.6
COOP:045032,LODI CA US,12.2,38.10611,-121.28778,200908,-0.08,0.7,0.00,91.1,56.2,73.7
COOP:045032,LODI CA US,12.2,38.10611,-121.28778,200909,-0.08,4.8,0.26,91.0,59.1,75.1
COOP:045032,LODI CA US,12.2,38.10611,-121.28778,200910,2.07,-0.1,3.12,75.6,50.5,63.1
COOP:045032,LODI CA US,12.2,38.10611,-121.28778,200911,-2.06,0.6,0.29,65.8,40.2,53.0
COOP:045032,LODI CA US,12.2,38.10611,-121.28778,200912,0.11,0.1,2.71,54.8,36.4,45.6
COOP:041907,COLEMAN FISHERIES CA US,128,40.4,-122.14333,200801,5.71,-9999,11.21,-9999,-9999,-9999
COOP:041907,COLEMAN FISHERIES CA US,128,40.4,-122.14333,200802,-1.91,-9999,2.46,-9999,-9999,-9999
COOP:041907,COLEMAN FISHERIES CA US,128,40.4,-122.14333,200803,-4.02,-9999,0.23,-9999,-9999,-9999
COOP:041907,COLEMAN FISHERIES CA US,128,40.4,-122.14333,200804,-1.49,-9999,0.61,-9999,-9999,-9999
COOP:041907,COLEMAN FISHERIES CA US,128,40.4,-122.14333,200805,-1.52,-9999,0.25,-9999,-9999,-9999
COOP:041907,COLEMAN FISHERIES CA US,128,40.4,-122.14333,200806,-0.57,-9999,0.00,-9999,-9999,-9999
COOP:041907,COLEMAN FISHERIES CA US,128,40.4,-122.14333,200807,-0.22,-9999,0.00,-9999,-9999,-9999
COOP:041907,COLEMAN FISHERIES CA US,128,40.4,-122.14333,200808,-0.29,-9999,0.00,-9999,-9999,-9999
COOP:041907,COLEMAN FISHERIES CA US,128,40.4,-122.14333,200809,-1.16,-9999,0.00,-9999,-9999,-9999
COOP:041907,COLEMAN FISHERIES CA US,128,40.4,-122.14333,200810,-0.74,-9999,1.00,-9999,-9999,-9999
COOP:041907,COLEMAN FISHERIES CA US,128,40.4,-122.14333,200811,-1.77,-9999,1.74,-9999,-9999,-9999
COOP:041907,COLEMAN FISHERIES CA US,128,40.4,-122.14333,200812,-1.04,-9999,3.26,-9999,-9999,-9999
COOP:041907,COLEMAN FISHERIES CA US,128,40.4,-122.14333,200901,-3.93,-9999,1.57,-9999,-9999,-9999
COOP:041907,COLEMAN FISHERIES CA US,128,40.4,-122.14333,200902,2.17,-9999,6.54,-9999,-9999,-9999
COOP:041907,COLEMAN FISHERIES CA US,128,40.4,-122.14333,200903,-1.09,-9999,3.16,-9999,-9999,-9999
COOP:041907,COLEMAN FISHERIES CA US,128,40.4,-122.14333,200904,-1.57,-9999,0.53,-9999,-9999,-9999
COOP:041907,COLEMAN FISHERIES CA US,128,40.4,-122.14333,200905,-0.25,-9999,1.52,-9999,-9999,-9999
COOP:041907,COLEMAN FISHERIES CA US,128,40.4,-122.14333,200906,1.12,-9999,1.69,-9999,-9999,-9999
COOP:041907,COLEMAN FISHERIES CA US,128,40.4,-122.14333,200907,-0.22,-9999,0.00,-9999,-9999,-9999
COOP:041907,COLEMAN FISHERIES CA US,128,40.4,-122.14333,200908,-0.29,-9999,0.00,-9999,-9999,-9999
COOP:041907,COLEMAN FISHERIES CA US,128,40.4,-122.14333,200909,-0.81,-9999,0.35,-9999,-9999,-9999
COOP:041907,COLEMAN FISHERIES CA US,128,40.4,-122.14333,200910,0.13,-9999,1.87,-9999,-9999,-9999
COOP:041907,COLEMAN FISHERIES CA US,128,40.4,-122.14333,200911,-1.31,-9999,2.20,-9999,-9999,-9999
COOP:041907,COLEMAN FISHERIES CA US,128,40.4,-122.14333,200912,-0.79,-9999,3.51,-9999,-9999,-9999
COOP:040819,BISHOP CRK INTAKE 2 CA US,2485.3,37.248,-118.5813,200904,-0.63,-9999,0.19,-9999,-9999,-9999
COOP:040819,BISHOP CRK INTAKE 2 CA US,2485.3,37.248,-118.5813,200905,-0.65,-9999,0.00,-9999,-9999,-9999
COOP:040819,BISHOP CRK INTAKE 2 CA US,2485.3,37.248,-118.5813,200906,-0.42,-9999,0.00,-9999,-9999,-9999
COOP:040819,BISHOP CRK INTAKE 2 CA US,2485.3,37.248,-118.5813,200907,-0.34,-9999,0.08,-9999,-9999,-9999
COOP:040819,BISHOP CRK INTAKE 2 CA US,2485.3,37.248,-118.5813,200909,-0.27,-9999,0.47,-9999,-9999,-9999
COOP:040820,ASPENDELL CA US,2590.8,37.2397,-118.599,200802,-9999,-9999,2.89,40.0,24.4,32.2
COOP:040820,ASPENDELL CA US,2590.8,37.2397,-118.599,200804,-9999,-9999,0.00,-9999,-9999,-9999
COOP:040820,ASPENDELL CA US,2590.8,37.2397,-118.599,200805,-9999,-9999,0.32,57.0,37.3,47.2
COOP:040820,ASPENDELL CA US,2590.8,37.2397,-118.599,200806,-9999,-9999,0.00,68.9,48.3,58.6
COOP:040820,ASPENDELL CA US,2590.8,37.2397,-118.599,200807,-9999,-9999,0.98,76.3,55.7,66.0
COOP:040820,ASPENDELL CA US,2590.8,37.2397,-118.599,200808,-9999,-9999,0.06,75.8,55.5,65.7
COOP:040820,ASPENDELL CA US,2590.8,37.2397,-118.599,200809,-9999,-9999,0.29,67.3,47.3,57.3
COOP:040820,ASPENDELL CA US,2590.8,37.2397,-118.599,200810,-9999,-9999,0.41,56.6,38.0,47.3
COOP:040820,ASPENDELL CA US,2590.8,37.2397,-118.599,200812,-9999,-9999,2.30,40.0,22.5,31.3
COOP:040820,ASPENDELL CA US,2590.8,37.2397,-118.599,200901,-9999,-9999,1.21,42.9,25.6,34.3
COOP:040820,ASPENDELL CA US,2590.8,37.2397,-118.599,200902,-9999,-9999,3.80,36.3,22.4,29.4
COOP:040820,ASPENDELL CA US,2590.8,37.2397,-118.599,200903,-9999,-9999,0.96,42.3,24.5,33.4
COOP:040820,ASPENDELL CA US,2590.8,37.2397,-118.599,200904,-9999,-9999,1.22,50.0,29.5,39.8
COOP:040820,ASPENDELL CA US,2590.8,37.2397,-118.599,200905,-9999,-9999,0.20,-9999,-9999,-9999
COOP:040820,ASPENDELL CA US,2590.8,37.2397,-118.599,200906,-9999,-9999,1.31,62.0,43.4,52.7
COOP:040820,ASPENDELL CA US,2590.8,37.2397,-118.599,200907,-9999,-9999,0.21,76.6,55.9,66.3
COOP:040820,ASPENDELL CA US,2590.8,37.2397,-118.599,200908,-9999,-9999,0.21,72.2,51.9,62.1
COOP:040820,ASPENDELL CA US,2590.8,37.2397,-118.599,200909,-9999,-9999,0.63,69.9,49.3,59.6
COOP:040820,ASPENDELL CA US,2590.8,37.2397,-118.599,200912,-9999,-9999,4.54,-9999,-9999,-9999
COOP:041916,COLGATE P H CA US,181.4,39.33083,-121.19222,200801,1.05,-9999,8.67,-9999,-9999,-9999
COOP:041916,COLGATE P H CA US,181.4,39.33083,-121.19222,200802,-2.35,-9999,4.47,-9999,-9999,-9999
COOP:041916,COLGATE P H CA US,181.4,39.33083,-121.19222,200803,-5.03,-9999,1.49,-9999,-9999,-9999
COOP:041916,COLGATE P H CA US,181.4,39.33083,-121.19222,200804,-2.36,-9999,0.48,-9999,-9999,-9999
COOP:041916,COLGATE P H CA US,181.4,39.33083,-121.19222,200805,-1.31,-9999,0.22,-9999,-9999,-9999
COOP:041916,COLGATE P H CA US,181.4,39.33083,-121.19222,200806,-0.55,-9999,0.00,-9999,-9999,-9999
COOP:041916,COLGATE P H CA US,181.4,39.33083,-121.19222,200807,-0.13,-9999,0.00,-9999,-9999,-9999
COOP:041916,COLGATE P H CA US,181.4,39.33083,-121.19222,200808,-0.16,-9999,0.00,-9999,-9999,-9999
COOP:041916,COLGATE P H CA US,181.4,39.33083,-121.19222,200809,-0.84,-9999,0.00,-9999,-9999,-9999
COOP:041916,COLGATE P H CA US,181.4,39.33083,-121.19222,200810,-0.67,-9999,1.64,-9999,-9999,-9999
COOP:041916,COLGATE P H CA US,181.4,39.33083,-121.19222,200811,-2.50,-9999,3.27,-9999,-9999,-9999
COOP:041916,COLGATE P H CA US,181.4,39.33083,-121.19222,200812,-1.56,-9999,4.67,-9999,-9999,-9999
COOP:041916,COLGATE P H CA US,181.4,39.33083,-121.19222,200901,-4.37,-9999,3.25,-9999,-9999,-9999
COOP:041916,COLGATE P H CA US,181.4,39.33083,-121.19222,200902,0.62,-9999,7.44,-9999,-9999,-9999
COOP:041916,COLGATE P H CA US,181.4,39.33083,-121.19222,200903,-1.46,-9999,5.06,-9999,-9999,-9999
COOP:041916,COLGATE P H CA US,181.4,39.33083,-121.19222,200904,-1.83,-9999,1.01,-9999,-9999,-9999
