STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,DPNP,DPNT,TPCP,MMXT,MMNT,MNTM
COOP:045032,LODI CA US,12.2,38.10611,-121.28778,200601,-0.01,3.0,3.55,57.7,40.5,49.1
COOP:045032,LODI CA US,12.2,38.10611,-121.28778,200602,-2.21,0.5,1.08,64.2,38.9,51.6
COOP:045032,LODI CA US,12.2,38.10611,-121.28778,200603,1.86,-3.3,4.85,61.7,41.0,51.4
COOP:045032,LODI CA US,12.2,38.10611,-121.28778,200604,2.71,-0.9,3.87,70.0,47.2,58.6
COOP:045032,LODI CA US,12.2,38.10611,-121.28778,200605,0.33,2.4,0.94,83.1,52.1,67.6
COOP:045032,LODI CA US,12.2,38.10611,-121.28778,200606,-0.13,3.6,0.00,90.0,58.3,74.2
COOP:045032,LODI CA US,12.2,38.10611,-121.28778,200607,-0.03,5.5,0.03,96.8,61.7,79.3
COOP:045032,LODI CA US,12.2,38.10611,-121.28778,200608,-0.08,-0.4,0.00,90.0,55.1,72.6
COOP:045032,LODI CA US,12.2,38.10611,-121.28778,200609,-0.34,0.8,0.00,88.3,53.9,71.1
COOP:045032,LODI CA US,12.2,38.10611,-121.28778,200610,-0.64,-1.5,0.41,76.1,47.3,61.7
COOP:045032,LODI CA US,12.2,38.10611,-121.28778,200611,-0.48,2.2,1.87,63.5,45.6,54.6
COOP:045032,LODI CA US,12.2,38.10611,-121.28778,200612,-0.14,1.9,2.46,57.7,37.1,47.4
COOP:045032,LODI CA US,12.2,38.10611,-121.28778,200701,-3.26,-1.6,0.30,57.1,31.8,44.5
COOP:045032,LODI CA US,12.2,38.10611,-121.28778,200702,-1.35,0.1,1.94,60.9,41.4,51.2
COOP:045032,LODI CA US,12.2,38.10611,-121.28778,200703,-2.76,3.6,0.23,72.9,43.6,58.3
COOP:045032,LODI CA US,12.2,38.10611,-121.28778,200704,0.85,1.9,2.01,76.5,46.3,61.4
COOP:045032,LODI CA US,12.2,38.10611,-121.28778,200705,-0.39,2.0,0.22,82.9,51.4,67.2
COOP:045032,LODI CA US,12.2,38.10611,-121.28778,200706,-0.13,1.4,0.00,88.6,55.3,72.0
COOP:045032,LODI CA US,12.2,38.10611,-121.28778,200707,-0.02,1.4,0.04,91.4,59.0,75.2
COOP:045032,LODI CA US,12.2,38.10611,-121.28778,200708,-0.08,2.3,0.00,92.8,57.7,75.3
COOP:045032,LODI CA US,12.2,38.10611,-121.28778,200709,-0.10,-0.6,0.24,85.2,54.1,69.7
COOP:045032,LODI CA US,12.2,38.10611,-121.28778,200710,-0.40,-1.6,0.65,75.2,47.9,61.6
COOP:045032,LODI CA US,12.2,38.10611,-121.28778,200711,-1.43,2.9,0.92,68.6,42.0,55.3
COOP:045032,LODI CA US,12.2,38.10611,-121.28778,200712,0.70,0.3,3.30,55.3,36.3,45.8
COOP:041907,COLEMAN FISHERIES CA US,128,40.4,-122.14333,200601,0.38,-9999,5.88,-9999,-9999,-9999
COOP:041907,COLEMAN FISHERIES CA US,128,40.4,-122.14333,200602,-0.34,-9999,4.03,-9999,-9999,-9999
COOP:041907,COLEMAN FISHERIES CA US,128,40.4,-122.14333,200603,4.83,-9999,9.08,-9999,-9999,-9999
COOP:041907,COLEMAN FISHERIES CA US,128,40.4,-122.14333,200604,4.96,-9999,7.06,-9999,-9999,-9999
COOP:041907,COLEMAN FISHERIES CA US,128,40.4,-122.14333,200605,-1.37,-9999,0.40,-9999,-9999,-9999
COOP:041907,COLEMAN FISHERIES CA US,128,40.4,-122.14333,200606,0.03,-9999,0.60,-9999,-9999,-9999
COOP:041907,COLEMAN FISHERIES CA US,128,40.4,-122.14333,200607,-0.22,-9999,0.00,-9999,-9999,-9999
