STATION,DATE,DPNP,TPCP
40014,200001,-1.3,0.59
40014,200002,1.58,3.54
40014,200003,-0.95,1.03
40014,200004,0.64,1.37
40014,200005,-0.2,0.04
40014,200006,-0.03,0
40014,200007,-0.04,0
40014,200008,0,0.25
40014,200401,-2.38,0.04
40014,200402,1.21,3.72
40014,200403,-1.99,0.43
40014,200404,-0.24,0.35
40014,200405,-0.07,0.16
40014,200406,-0.05,0
40014,200407,-0.01,0
40014,200408,-0.12,0
40014,200409,-0.25,0
40014,200410,4.23,4.66
40014,200411,-9999,0.2
40014,200412,3.56,4.96
40014,200501,2.54,4.96
40014,200502,-1.02,1.49
40014,200503,-1.13,1.29
40014,200505,-0.03,0.2
40014,200506,-0.05,0
40014,200507,0.15,0.16
40014,200508,-0.08,0.04
40014,200509,0.26,0.51
40014,200510,2.31,2.74
40014,200511,-9999,0
40014,200512,-1.04,0.36
40014,200601,-1.25,1.17
40014,200602,-0.86,1.65
40014,200603,0.27,2.69
40014,200604,1.64,2.23
40014,200605,-0.07,0.16
40014,200606,-0.05,0
40014,200607,0.27,0.28
40014,200608,-0.12,0
40014,200609,-0.25,0
40014,200610,-0.2,0.23
40014,200611,-0.79,0.04
40014,200612,-0.85,0.55
40014,200701,-2.07,0.35
40014,200702,-0.87,1.64
40014,200703,-2.22,0.2
40014,200704,-0.32,0.27
40014,200705,-0.23,0
40014,200706,-0.05,0
40014,200707,-0.01,0
40014,200708,-0.12,0
40014,200709,0.8,1.05
40014,200710,0.04,0.47
40014,200711,-0.09,0.74
40014,200712,-0.31,1.09
40014,200801,3.2,5.62
40014,200802,-2.07,0.44
40014,200803,-2.18,0.24
40014,200804,-0.55,0.04
40014,200805,-0.19,0.04
40014,200806,-0.05,0
40014,200807,-0.01,0
40014,200808,-0.12,0
40014,200809,-0.21,0.04
40014,200810,-0.43,0
40014,200811,2.42,3.25
40014,200812,0.24,1.64
40014,200901,-2.15,0.27
40014,200902,2.17,4.68
40014,200903,-2.03,0.39
