STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,DPNP,DPNT,TPCP,MMXT,MMNT,MNTM
COOP:045032,LODI CA US,12.2,38.1061,-121.2877,201303,-2.67,2.0,0.20,72.6,42.6,57.6
COOP:045032,LODI CA US,12.2,38.1061,-121.2877,201304,-0.84,4.9,0.52,79.2,50.8,65.0
COOP:045032,LODI CA US,12.2,38.1061,-121.2877,201305,-0.61,3.6,0.06,83.9,55.8,69.8
COOP:045032,LODI CA US,12.2,38.1061,-121.2877,201306,-0.10,1.7,0.04,88.7,57.5,73.1
COOP:045032,LODI CA US,12.2,38.1061,-121.2877,201307,0.00,1.3,0.00,93.5,58.4,76.0
COOP:045032,LODI CA US,12.2,38.1061,-121.2877,201308,-0.02,0.2,0.01,90.1,57.8,74.0
COOP:045032,LODI CA US,12.2,38.1061,-121.2877,201309,-0.28,0.0,0.02,85.8,56.4,71.1
COOP:041907,COLEMAN FISHERIES CA US,128,40.4,-122.1433,201301,-9999,-9999,1.29,-9999,-9999,-9999
COOP:041907,COLEMAN FISHERIES CA US,128,40.4,-122.1433,201302,-9999,-9999,0.70,-9999,-9999,-9999
COOP:041907,COLEMAN FISHERIES CA US,128,40.4,-122.1433,201303,-9999,-9999,2.65,-9999,-9999,-9999
COOP:041907,COLEMAN FISHERIES CA US,128,40.4,-122.1433,201304,-9999,-9999,0.91,-9999,-9999,-9999
COOP:041907,COLEMAN FISHERIES CA US,128,40.4,-122.1433,201305,-9999,-9999,0.75,-9999,-9999,-9999
COOP:041907,COLEMAN FISHERIES CA US,128,40.4,-122.1433,201306,-9999,-9999,1.60,-9999,-9999,-9999
COOP:041907,COLEMAN FISHERIES CA US,128,40.4,-122.1433,201307,-9999,-9999,0.00,-9999,-9999,-9999
COOP:041907,COLEMAN FISHERIES CA US,128,40.4,-122.1433,201308,-9999,-9999,0.00,-9999,-9999,-9999
COOP:041907,COLEMAN FISHERIES CA US,128,40.4,-122.1433,201309,-9999,-9999,1.53,-9999,-9999,-9999
COOP:041907,COLEMAN FISHERIES CA US,128,40.4,-122.1433,201310,-9999,-9999,0.20,-9999,-9999,-9999
COOP:041907,COLEMAN FISHERIES CA US,128,40.4,-122.1433,201311,-9999,-9999,2.12,-9999,-9999,-9999
COOP:041907,COLEMAN FISHERIES CA US,128,40.4,-122.1433,201312,-9999,-9999,0.85,-9999,-9999,-9999
COOP:040383,AUBURN CA US,393.8,38.9072,-121.0838,201301,-5.73,0.2,0.63,56.5,36.3,46.4
COOP:040383,AUBURN CA US,393.8,38.9072,-121.0838,201302,-5.78,-1.6,0.50,59.4,36.2,47.8
COOP:040383,AUBURN CA US,393.8,38.9072,-121.0838,201303,-4.32,2.5,1.49,66.3,44.0,55.1
COOP:040383,AUBURN CA US,393.8,38.9072,-121.0838,201304,-1.23,3.5,1.64,72.9,47.3,60.1
COOP:040383,AUBURN CA US,393.8,38.9072,-121.0838,201305,-0.87,2.1,0.72,79.9,52.5,66.2
COOP:040383,AUBURN CA US,393.8,38.9072,-121.0838,201306,0.52,0.7,0.89,86.4,57.8,72.1
COOP:040383,AUBURN CA US,393.8,38.9072,-121.0838,201307,0.00,-9999,0.00,95.4,-9999,-9999
COOP:040383,AUBURN CA US,393.8,38.9072,-121.0838,201308,-0.07,-1.0,0.00,90.0,61.8,75.9
COOP:040383,AUBURN CA US,393.8,38.9072,-121.0838,201310,-1.89,-1.3,0.19,74.8,50.3,62.6
COOP:040383,AUBURN CA US,393.8,38.9072,-121.0838,201311,-2.71,2.9,1.68,66.7,44.7,55.7
COOP:040383,AUBURN CA US,393.8,38.9072,-121.0838,201312,-6.32,0.7,0.41,58.9,34.6,46.8
COOP:042327,DEEP CANYON LAB CA US,365.8,33.6513,-116.3763,201301,-9999,-9999,0.62,-9999,-9999,-9999
COOP:042327,DEEP CANYON LAB CA US,365.8,33.6513,-116.3763,201302,-9999,-9999,0.28,-9999,-9999,-9999
COOP:042327,DEEP CANYON LAB CA US,365.8,33.6513,-116.3763,201304,-9999,-9999,0.00,-9999,-9999,-9999
COOP:042327,DEEP CANYON LAB CA US,365.8,33.6513,-116.3763,201306,-9999,-9999,0.00,-9999,-9999,-9999
COOP:042327,DEEP CANYON LAB CA US,365.8,33.6513,-116.3763,201307,-9999,-9999,0.35,-9999,-9999,-9999
COOP:042327,DEEP CANYON LAB CA US,365.8,33.6513,-116.3763,201308,-9999,-9999,1.24,-9999,-9999,-9999
COOP:042327,DEEP CANYON LAB CA US,365.8,33.6513,-116.3763,201309,-9999,-9999,0.22,-9999,-9999,-9999
COOP:042327,DEEP CANYON LAB CA US,365.8,33.6513,-116.3763,201310,-9999,-9999,0.02,-9999,-9999,-9999
COOP:042327,DEEP CANYON LAB CA US,365.8,33.6513,-116.3763,201311,-9999,-9999,0.12,-9999,-9999,-9999
COOP:042327,DEEP CANYON LAB CA US,365.8,33.6513,-116.3763,201312,-9999,-9999,0.00,-9999,-9999,-9999
COOP:044749,LANCASTER WM J FOX FIELD CA US,712.6,34.7411,-118.2116,201301,-1.10,-4.7,0.40,56.6,23.8,40.2
COOP:044749,LANCASTER WM J FOX FIELD CA US,712.6,34.7411,-118.2116,201302,-1.58,-2.8,0.20,62.4,28.5,45.5
COOP:044749,LANCASTER WM J FOX FIELD CA US,712.6,34.7411,-118.2116,201303,-0.79,5.3,0.35,73.9,43.1,58.5
COOP:044749,LANCASTER WM J FOX FIELD CA US,712.6,34.7411,-118.2116,201304,-0.35,4.7,0.00,78.6,49.0,63.8
COOP:044749,LANCASTER WM J FOX FIELD CA US,712.6,34.7411,-118.2116,201305,0.06,1.0,0.15,83.3,55.0,69.1
COOP:044749,LANCASTER WM J FOX FIELD CA US,712.6,34.7411,-118.2116,201306,-0.05,4.2,0.00,96.0,64.5,80.3
COOP:044749,LANCASTER WM J FOX FIELD CA US,712.6,34.7411,-118.2116,201307,-0.07,2.7,0.02,100.0,69.9,85.0
COOP:044749,LANCASTER WM J FOX FIELD CA US,712.6,34.7411,-118.2116,201308,-9999,0.6,0.00,97.7,65.3,81.5
COOP:044749,LANCASTER WM J FOX FIELD CA US,712.6,34.7411,-118.2116,201309,-9999,0.9,0.00,90.8,58.5,74.6
COOP:044749,LANCASTER WM J FOX FIELD CA US,712.6,34.7411,-118.2116,201310,-0.39,-4.5,0.05,76.4,39.7,58.1
COOP:044749,LANCASTER WM J FOX FIELD CA US,712.6,34.7411,-118.2116,201311,0.91,-0.7,1.45,65.7,35.6,50.7
COOP:044749,LANCASTER WM J FOX FIELD CA US,712.6,34.7411,-118.2116,201312,-1.06,-1.8,0.09,58.6,25.5,42.0
COOP:046926,PINNACLES NATIONAL MONUMENT CA US,398.4,36.4819,-121.1822,201301,-2.67,1.2,0.81,60.7,30.5,45.6
COOP:046926,PINNACLES NATIONAL MONUMENT CA US,398.4,36.4819,-121.1822,201302,-2.87,1.7,0.51,64.5,31.3,47.9
COOP:046926,PINNACLES NATIONAL MONUMENT CA US,398.4,36.4819,-121.1822,201303,-2.77,6.1,0.34,71.8,38.7,55.2
COOP:046926,PINNACLES NATIONAL MONUMENT CA US,398.4,36.4819,-121.1822,201304,-0.99,7.2,0.20,78.8,40.4,59.6
COOP:046926,PINNACLES NATIONAL MONUMENT CA US,398.4,36.4819,-121.1822,201305,-0.46,4.1,0.06,80.7,44.5,62.6
COOP:046926,PINNACLES NATIONAL MONUMENT CA US,398.4,36.4819,-121.1822,201306,-9999,6.6,0.00,92.4,49.5,71.0
COOP:046926,PINNACLES NATIONAL MONUMENT CA US,398.4,36.4819,-121.1822,201307,-0.04,2.5,0.00,98.0,46.6,72.3
COOP:046926,PINNACLES NATIONAL MONUMENT CA US,398.4,36.4819,-121.1822,201308,-0.04,1.0,0.00,93.7,48.0,70.8
COOP:046926,PINNACLES NATIONAL MONUMENT CA US,398.4,36.4819,-121.1822,201309,-0.21,2.7,0.02,89.4,48.0,68.7
COOP:046926,PINNACLES NATIONAL MONUMENT CA US,398.4,36.4819,-121.1822,201310,-0.60,-9999,0.26,-9999,-9999,-9999
COOP:046926,PINNACLES NATIONAL MONUMENT CA US,398.4,36.4819,-121.1822,201311,-1.30,4.9,0.24,73.2,36.6,54.9
COOP:046926,PINNACLES NATIONAL MONUMENT CA US,398.4,36.4819,-121.1822,201312,-2.52,3.0,0.26,66.5,27.6,47.0
COOP:040144,ALTADENA CA US,343.5,34.1822,-118.1383,201301,-9999,-9999,1.66,-9999,-9999,-9999
COOP:040144,ALTADENA CA US,343.5,34.1822,-118.1383,201302,-9999,-9999,0.69,-9999,-9999,-9999
COOP:040144,ALTADENA CA US,343.5,34.1822,-118.1383,201303,-9999,-9999,1.18,-9999,-9999,-9999
COOP:040144,ALTADENA CA US,343.5,34.1822,-118.1383,201304,-9999,-9999,0.32,-9999,-9999,-9999
COOP:040144,ALTADENA CA US,343.5,34.1822,-118.1383,201305,-9999,-9999,1.75,-9999,-9999,-9999
COOP:040144,ALTADENA CA US,343.5,34.1822,-118.1383,201306,-9999,-9999,0.00,-9999,-9999,-9999
COOP:040144,ALTADENA CA US,343.5,34.1822,-118.1383,201307,-9999,-9999,0.00,-9999,-9999,-9999
COOP:040144,ALTADENA CA US,343.5,34.1822,-118.1383,201308,-9999,-9999,0.00,-9999,-9999,-9999
COOP:040144,ALTADENA CA US,343.5,34.1822,-118.1383,201309,-9999,-9999,0.00,-9999,-9999,-9999
COOP:040144,ALTADENA CA US,343.5,34.1822,-118.1383,201310,-9999,-9999,0.24,-9999,-9999,-9999
COOP:040144,ALTADENA CA US,343.5,34.1822,-118.1383,201311,-9999,-9999,0.73,-9999,-9999,-9999
COOP:040144,ALTADENA CA US,343.5,34.1822,-118.1383,201312,-9999,-9999,0.65,-9999,-9999,-9999
COOP:043896,HEMET CA US,552,33.7381,-116.8939,201301,-1.54,-0.8,0.93,63.3,42.0,52.7
COOP:043896,HEMET CA US,552,33.7381,-116.8939,201302,-1.80,-1.8,0.78,64.3,41.0,52.6
COOP:043896,HEMET CA US,552,33.7381,-116.8939,201303,-0.83,3.5,0.94,73.3,48.3,60.8
COOP:043896,HEMET CA US,552,33.7381,-116.8939,201304,-0.79,2.0,0.00,77.0,49.4,63.2
COOP:043896,HEMET CA US,552,33.7381,-116.8939,201305,-0.10,1.3,0.26,82.5,54.3,68.4
COOP:043896,HEMET CA US,552,33.7381,-116.8939,201306,-0.06,1.7,0.00,91.1,58.0,74.5
COOP:043896,HEMET CA US,552,33.7381,-116.8939,201307,-0.18,1.5,0.02,94.6,66.2,80.4
COOP:043896,HEMET CA US,552,33.7381,-116.8939,201308,-0.04,1.0,0.20,95.0,65.1,80.1
COOP:043896,HEMET CA US,552,33.7381,-116.8939,201309,0.07,2.6,0.44,91.6,64.1,77.9
COOP:043896,HEMET CA US,552,33.7381,-116.8939,201310,0.03,-1.3,0.60,78.8,53.0,65.9
COOP:043896,HEMET CA US,552,33.7381,-116.8939,201311,-0.08,2.8,0.75,71.1,51.1,61.1
COOP:043896,HEMET CA US,552,33.7381,-116.8939,201312,-1.04,3.7,0.43,67.3,45.9,56.6
COOP:041916,COLGATE P H CA US,181.4,39.3308,-121.1922,201301,-9999,-9999,0.86,-9999,-9999,-9999
