STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,DPNP,DPNT,TPCP,MMXT,MMNT,MNTM
COOP:045032,LODI CA US,12.2,38.10611,-121.28778,201101,-9999,-0.9,-9999,53.4,36.9,45.2
COOP:045032,LODI CA US,12.2,38.10611,-121.28778,201102,-9999,-9999,-9999,-9999,36.2,-9999
COOP:045032,LODI CA US,12.2,38.10611,-121.28778,201103,-9999,-0.3,6.62,64.9,43.9,54.4
COOP:045032,LODI CA US,12.2,38.10611,-121.28778,201104,-9999,-9999,-9999,-9999,46.8,-9999
COOP:045032,LODI CA US,12.2,38.10611,-121.28778,201105,-9999,-2.3,-9999,76.7,49.1,62.9
COOP:045032,LODI CA US,12.2,38.10611,-121.28778,201107,-9999,0.5,0.00,90.9,57.7,74.3
COOP:045032,LODI CA US,12.2,38.10611,-121.28778,201108,-0.08,0.1,0.00,90.1,56.1,73.1
COOP:045032,LODI CA US,12.2,38.10611,-121.28778,201109,-9999,4.1,-9999,91.1,57.6,74.4
COOP:041907,COLEMAN FISHERIES CA US,128,40.4,-122.1433,201101,-3.07,-9999,2.43,-9999,-9999,-9999
COOP:041907,COLEMAN FISHERIES CA US,128,40.4,-122.1433,201102,0.62,-9999,4.99,-9999,-9999,-9999
COOP:041907,COLEMAN FISHERIES CA US,128,40.4,-122.1433,201103,2.81,-9999,7.06,-9999,-9999,-9999
COOP:041907,COLEMAN FISHERIES CA US,128,40.4,-122.1433,201104,-1.22,-9999,0.88,-9999,-9999,-9999
COOP:041907,COLEMAN FISHERIES CA US,128,40.4,-122.1433,201105,0.81,-9999,2.58,-9999,-9999,-9999
COOP:041907,COLEMAN FISHERIES CA US,128,40.4,-122.1433,201106,-9999,-9999,1.20,-9999,-9999,-9999
COOP:041907,COLEMAN FISHERIES CA US,128,40.4,-122.1433,201107,-0.22,-9999,0.00,-9999,-9999,-9999
COOP:041907,COLEMAN FISHERIES CA US,128,40.4,-122.1433,201108,-0.28,-9999,0.00,-9999,-9999,-9999
COOP:041907,COLEMAN FISHERIES CA US,128,40.4,-122.1433,201109,-1.15,-9999,0.00,-9999,-9999,-9999
COOP:041907,COLEMAN FISHERIES CA US,128,40.4,-122.1433,201110,0.30,-9999,2.04,-9999,-9999,-9999
COOP:041907,COLEMAN FISHERIES CA US,128,40.4,-122.1433,201111,-0.35,-9999,3.16,-9999,-9999,-9999
COOP:041907,COLEMAN FISHERIES CA US,128,40.4,-122.1433,201112,-4.15,-9999,0.15,-9999,-9999,-9999
COOP:040383,AUBURN CA US,393.8,38.9072,-121.0838,201101,-9999,-0.5,2.25,55.6,35.2,45.4
COOP:040383,AUBURN CA US,393.8,38.9072,-121.0838,201102,-9999,-3.7,6.32,56.0,35.4,45.7
COOP:040383,AUBURN CA US,393.8,38.9072,-121.0838,201103,-9999,-3.1,12.13,57.3,40.5,48.9
COOP:040383,AUBURN CA US,393.8,38.9072,-121.0838,201104,-9999,-2.8,0.57,65.3,42.3,53.8
COOP:040383,AUBURN CA US,393.8,38.9072,-121.0838,201105,-9999,-4.3,2.67,71.8,46.4,59.1
COOP:040383,AUBURN CA US,393.8,38.9072,-121.0838,201106,-9999,-3.6,2.97,79.2,55.4,67.3
COOP:040383,AUBURN CA US,393.8,38.9072,-121.0838,201107,-9999,-2.4,0.00,87.9,61.3,74.6
COOP:040383,AUBURN CA US,393.8,38.9072,-121.0838,201108,-9999,1.5,0.00,91.7,64.0,77.9
COOP:040383,AUBURN CA US,393.8,38.9072,-121.0838,201109,-9999,5.4,0.00,91.6,63.2,77.4
COOP:040383,AUBURN CA US,393.8,38.9072,-121.0838,201110,-9999,-0.7,2.90,75.3,51.2,63.3
COOP:040383,AUBURN CA US,393.8,38.9072,-121.0838,201111,-9999,-0.6,0.84,62.0,41.3,51.7
COOP:040383,AUBURN CA US,393.8,38.9072,-121.0838,201112,-9999,0.2,0.03,58.9,33.9,46.4
COOP:049073,TURLOCK NUMBER 2 CA US,35.1,37.5005,-120.855,201101,-0.85,-1.9,1.58,50.2,-9999,-9999
COOP:049073,TURLOCK NUMBER 2 CA US,35.1,37.5005,-120.855,201102,-0.08,-3.8,2.25,58.4,-9999,-9999
COOP:049073,TURLOCK NUMBER 2 CA US,35.1,37.5005,-120.855,201103,1.72,-1.8,3.85,62.5,-9999,-9999
COOP:049073,TURLOCK NUMBER 2 CA US,35.1,37.5005,-120.855,201104,-0.73,-1.6,0.16,69.7,-9999,-9999
COOP:049073,TURLOCK NUMBER 2 CA US,35.1,37.5005,-120.855,201105,0.25,-5.0,0.72,73.9,50.3,62.1
COOP:049073,TURLOCK NUMBER 2 CA US,35.1,37.5005,-120.855,201106,1.98,-2.6,2.04,83.5,-9999,-9999
COOP:049073,TURLOCK NUMBER 2 CA US,35.1,37.5005,-120.855,201108,-0.04,-0.2,0.00,91.6,60.9,76.3
COOP:049073,TURLOCK NUMBER 2 CA US,35.1,37.5005,-120.855,201109,-0.25,3.2,0.02,90.4,-9999,-9999
COOP:049073,TURLOCK NUMBER 2 CA US,35.1,37.5005,-120.855,201110,0.56,1.0,1.27,76.9,-9999,-9999
COOP:049073,TURLOCK NUMBER 2 CA US,35.1,37.5005,-120.855,201111,-0.92,-1.1,0.48,61.4,-9999,-9999
COOP:049073,TURLOCK NUMBER 2 CA US,35.1,37.5005,-120.855,201112,-1.57,-0.7,0.10,55.8,-9999,-9999
COOP:042327,DEEP CANYON LAB CA US,365.8,33.6513,-116.3763,201101,-1.08,-9999,0.02,-9999,-9999,-9999
COOP:042327,DEEP CANYON LAB CA US,365.8,33.6513,-116.3763,201102,0.04,-9999,1.07,-9999,-9999,-9999
COOP:042327,DEEP CANYON LAB CA US,365.8,33.6513,-116.3763,201105,-0.10,-9999,0.00,-9999,-9999,-9999
COOP:042327,DEEP CANYON LAB CA US,365.8,33.6513,-116.3763,201106,-0.03,-9999,0.00,-9999,-9999,-9999
COOP:042327,DEEP CANYON LAB CA US,365.8,33.6513,-116.3763,201107,-9999,-9999,0.00,-9999,-9999,-9999
COOP:042327,DEEP CANYON LAB CA US,365.8,33.6513,-116.3763,201108,-0.20,-9999,0.57,-9999,-9999,-9999
COOP:042327,DEEP CANYON LAB CA US,365.8,33.6513,-116.3763,201109,0.53,-9999,1.24,-9999,-9999,-9999
COOP:042327,DEEP CANYON LAB CA US,365.8,33.6513,-116.3763,201111,0.01,-9999,0.36,-9999,-9999,-9999
COOP:042327,DEEP CANYON LAB CA US,365.8,33.6513,-116.3763,201112,-0.47,-9999,0.11,-9999,-9999,-9999
COOP:040820,ASPENDELL CA US,2587.8,37.2377,-118.5938,201109,-9999,-9999,-9999,67.3,47.3,57.3
COOP:040820,ASPENDELL CA US,2587.8,37.2377,-118.5938,201110,-9999,-9999,1.08,57.9,38.5,48.2
COOP:040820,ASPENDELL CA US,2587.8,37.2377,-118.5938,201111,-9999,-9999,-9999,43.2,27.0,35.1
COOP:040820,ASPENDELL CA US,2587.8,37.2377,-118.5938,201112,-9999,-9999,0.00,39.5,20.6,30.1
COOP:044749,LANCASTER WM J FOX FIELD CA US,712.6,34.7411,-118.2116,201101,-9999,0.1,0.04,58.6,29.3,44.0
COOP:044749,LANCASTER WM J FOX FIELD CA US,712.6,34.7411,-118.2116,201102,-0.30,-3.4,1.32,58.3,30.0,44.2
COOP:044749,LANCASTER WM J FOX FIELD CA US,712.6,34.7411,-118.2116,201103,0.25,0.5,1.69,65.3,39.5,52.4
COOP:044749,LANCASTER WM J FOX FIELD CA US,712.6,34.7411,-118.2116,201104,0.21,0.5,0.53,71.6,45.3,58.5
COOP:044749,LANCASTER WM J FOX FIELD CA US,712.6,34.7411,-118.2116,201105,-0.07,-4.2,0.05,76.1,47.6,61.9
COOP:044749,LANCASTER WM J FOX FIELD CA US,712.6,34.7411,-118.2116,201106,-0.03,-1.7,0.02,87.5,58.6,73.1
COOP:044749,LANCASTER WM J FOX FIELD CA US,712.6,34.7411,-118.2116,201107,0.12,-0.2,0.22,96.1,65.0,80.6
COOP:044749,LANCASTER WM J FOX FIELD CA US,712.6,34.7411,-118.2116,201108,-0.14,2.3,0.00,99.1,64.4,81.8
COOP:044749,LANCASTER WM J FOX FIELD CA US,712.6,34.7411,-118.2116,201109,-0.19,3.7,0.01,94.8,57.8,76.3
COOP:044749,LANCASTER WM J FOX FIELD CA US,712.6,34.7411,-118.2116,201110,-0.11,1.4,0.19,82.0,44.3,63.2
COOP:044749,LANCASTER WM J FOX FIELD CA US,712.6,34.7411,-118.2116,201111,0.07,-1.1,0.56,63.3,34.5,48.9
COOP:044749,LANCASTER WM J FOX FIELD CA US,712.6,34.7411,-118.2116,201112,-0.65,-2.3,0.36,58.4,22.5,40.5
COOP:046926,PINNACLES NATIONAL MONUMENT CA US,398.4,36.48167,-121.18222,201101,-9999,-9999,-9999,-9999,34.3,-9999
COOP:046926,PINNACLES NATIONAL MONUMENT CA US,398.4,36.48167,-121.18222,201102,-9999,-5.2,4.11,60.3,29.8,45.1
COOP:046926,PINNACLES NATIONAL MONUMENT CA US,398.4,36.48167,-121.18222,201103,-9999,-3.8,6.95,63.1,33.5,48.3
COOP:046926,PINNACLES NATIONAL MONUMENT CA US,398.4,36.48167,-121.18222,201104,-9999,-2.0,-9999,69.7,38.3,54.0
COOP:046926,PINNACLES NATIONAL MONUMENT CA US,398.4,36.48167,-121.18222,201105,-9999,-5.8,1.03,74.3,36.7,55.5
COOP:046926,PINNACLES NATIONAL MONUMENT CA US,398.4,36.48167,-121.18222,201106,-9999,-3.4,1.61,83.6,44.5,64.1
COOP:046926,PINNACLES NATIONAL MONUMENT CA US,398.4,36.48167,-121.18222,201107,-9999,-2.5,0.00,93.2,46.9,70.1
COOP:046926,PINNACLES NATIONAL MONUMENT CA US,398.4,36.48167,-121.18222,201108,-0.09,-2.8,0.00,94.7,44.4,69.6
COOP:046926,PINNACLES NATIONAL MONUMENT CA US,398.4,36.48167,-121.18222,201109,-9999,2.0,-9999,95.5,47.0,71.3
COOP:046926,PINNACLES NATIONAL MONUMENT CA US,398.4,36.48167,-121.18222,201110,-9999,0.3,0.73,83.0,41.9,62.5
COOP:046926,PINNACLES NATIONAL MONUMENT CA US,398.4,36.48167,-121.18222,201111,-9999,-2.9,1.81,66.2,34.6,50.4
COOP:046926,PINNACLES NATIONAL MONUMENT CA US,398.4,36.48167,-121.18222,201112,-9999,-1.8,0.47,65.4,26.9,46.2
COOP:040144,ALTADENA CA US,343.5,34.1822,-118.1383,201108,-0.19,-9999,0.00,-9999,-9999,-9999
COOP:040144,ALTADENA CA US,343.5,34.1822,-118.1383,201109,-0.56,-9999,0.00,-9999,-9999,-9999
COOP:043896,HEMET CA US,552,33.7381,-116.8939,201101,-2.34,-9999,0.39,67.6,41.3,54.5
COOP:043896,HEMET CA US,552,33.7381,-116.8939,201102,-9999,-9999,0.20,66.6,36.7,51.7
COOP:043896,HEMET CA US,552,33.7381,-116.8939,201103,-0.85,-9999,1.43,71.3,44.1,57.7
COOP:043896,HEMET CA US,552,33.7381,-116.8939,201104,-0.63,-9999,0.12,75.0,48.2,61.6
COOP:043896,HEMET CA US,552,33.7381,-116.8939,201105,-0.22,-9999,0.25,78.7,48.9,63.8
COOP:043896,HEMET CA US,552,33.7381,-116.8939,201106,-0.04,-9999,0.07,87.7,53.7,70.7
COOP:043896,HEMET CA US,552,33.7381,-116.8939,201107,0.24,-9999,0.42,95.2,60.9,78.1
COOP:043896,HEMET CA US,552,33.7381,-116.8939,201108,-0.38,-9999,0.00,100.7,61.4,81.1
COOP:043896,HEMET CA US,552,33.7381,-116.8939,201109,-0.41,-9999,0.00,95.7,60.9,78.3
COOP:043896,HEMET CA US,552,33.7381,-116.8939,201110,-0.18,-9999,0.30,86.4,53.7,70.1
COOP:043896,HEMET CA US,552,33.7381,-116.8939,201111,1.26,-9999,2.13,68.7,42.7,55.7
COOP:043896,HEMET CA US,552,33.7381,-116.8939,201112,-0.70,-9999,0.53,63.2,36.5,49.9
COOP:041916,COLGATE P H CA US,181.4,39.33083,-121.19222,201107,-0.13,-9999,0.00,-9999,-9999,-9999
COOP:041916,COLGATE P H CA US,181.4,39.33083,-121.19222,201108,-0.16,-9999,0.00,-9999,-9999,-9999
COOP:044500,KENTFIELD CA US,44.2,37.95694,-122.54389,201101,-6.79,0.1,2.81,-9999,41.2,-9999
COOP:044500,KENTFIELD CA US,44.2,37.95694,-122.54389,201102,-1.79,-2.9,7.31,-9999,39.4,-9999
COOP:044500,KENTFIELD CA US,44.2,37.95694,-122.54389,201103,7.26,-1.9,14.31,-9999,44.5,-9999
COOP:044500,KENTFIELD CA US,44.2,37.95694,-122.54389,201104,-9999,-2.0,1.11,-9999,46.5,-9999
COOP:044500,KENTFIELD CA US,44.2,37.95694,-122.54389,201105,0.72,-4.7,1.92,-9999,47.0,-9999
